5616EB,51.433185,5.461519
5654SJ,51.423319,5.455652
5616BR,51.435834,5.465637
5623AJ,51.455468,5.475181
5622AE,51.454405,5.465568
5631BV,51.458804,5.494598
5613ET,51.439967,5.491504
5626DZ,51.480374,5.429840
5631CC,51.458815,5.492439
5622BS,51.454613,5.463756
5622BJ,51.456024,5.463614
5626BR,51.478594,5.430746
5644HG,51.412957,5.490076
5625EJ,51.471929,5.470521
5613LN,51.431270,5.496488
5616RE,51.445765,5.453542
5654KW,51.419028,5.446660
5624JJ,51.470362,5.461883
5613GC,51.437851,5.504587
5644KL,51.418477,5.489068
5616RB,51.443238,5.455193
5611CK,51.441475,5.482561
5644KM,51.418486,5.488925
5613GD,51.436943,5.504397
5654JE,51.417026,5.457094
5643LM,51.419812,5.503333
5651CD,51.447314,5.449344
5621HN,51.451710,5.462384
5615LA,51.432261,5.472202
5629RE,51.492915,5.474404
5658HX,51.434913,5.415920
5611AL,51.441363,5.477455
5657EA,51.457928,5.391978
5629GP,51.486938,5.460124
5641WP,51.444063,5.520511
5644EV,51.419298,5.495209
5643MS,51.422581,5.502693
5625NE,51.474855,5.476845
5611CH,51.440343,5.481724
5612DV,51.448758,5.480203
5628NS,51.479243,5.475270
5611JV,51.437077,5.475246
5632TP,51.484278,5.503397
5628GC,51.480891,5.470004
5653JK,51.423013,5.439160
5632EJ,51.474464,5.492663
5642KH,51.436474,5.514434
5611AZ,51.439746,5.475280
5627AE,51.481234,5.435283
5655HD,51.413844,5.440056
5646JJ,51.420476,5.513254
5642ER,51.438725,5.511104
5621AP,51.452801,5.456847
5642EG,51.441134,5.510636
5632TS,51.484434,5.500618
5641SN,51.445803,5.515381
5612KM,51.449466,5.471458
5616EM,51.432798,5.462338
5626BJ,51.479576,5.423362
5632LS,51.481980,5.490722
5631HN,51.465201,5.488194
5625PS,51.474634,5.483422
5644LE,51.419136,5.485720
5611NL,51.431496,5.484841
5632RH,51.482953,5.498844
5626BP,51.478566,5.431767
5653EJ,51.424265,5.452979
5627PB,51.493022,5.447448
5632WJ,51.478935,5.499122
5627LX,51.485993,5.447309
5615HC,51.431451,5.473121
5611EN,51.436929,5.480337
5621JA,51.452573,5.463580
5611KX,51.435243,5.475717
5644RK,51.418706,5.483951
5612CP,51.451164,5.472310
5611LR,51.431087,5.479951
5641DR,51.452780,5.522465
5616HS,51.435671,5.453182
5652VD,51.441955,5.432019
5644NH,51.421436,5.487522
5628HA,51.480464,5.464274
5617AC,51.449097,5.457963
5652HH,51.439883,5.444386
5611JB,51.436072,5.472397
5616NG,51.441997,5.457607
5613KV,51.440921,5.499359
5613JZ,51.441034,5.503315
5622GK,51.464561,5.466449
5611TS,51.433987,5.493877
5629MP,51.485778,5.474073
5641BE,51.450924,5.518244
5642GP,51.440929,5.509025
5612HK,51.452335,5.469693
5613CM,51.439673,5.487562
5641GH,51.448160,5.522336
